Player,#,Pos,HT,WT,Age,Exp,College,Team,Division,Popularity
"
Nick Vigil",,ILB,6-2,239,28,7,Utah State,Cardinals,,
"
Joe Walker",59,ILB,6-2,236,29,7,Oregon,Cardinals,,
"
J.J. Watt",99,DE,6-5,288,33,12,Wisconsin,Cardinals,,
"
David Wells",41,TE,6-6,260,26,3,San Diego State,Cardinals,,
"
Antoine Wesley",85,WR,6-4,206,24,3,Texas Tech,Cardinals,,
"
Jace Whittaker",39,CB,5-11,185,26,1,Arizona,Cardinals,,
"
James Wiggins",38,S,5-11,205,24,2,Cincinnati,Cardinals,,
"
Maxx Williams",87,TE,6-4,252,28,8,Minnesota,Cardinals,,
"
Marco Wilson",20,CB,5-11,187,23,2,Florida,Cardinals,,
"
Deon Yelder",,TE,6-4,255,27,4,Western Kentucky,Cardinals,,
"
Jonathan Ward",29,RB,6-0,202,24,3,Central Michigan,Cardinals,,
"
Robert Alford",23,CB,5-10,186,33,10,Southeastern Louisiana,Cardinals,,
"
Chris Banjo",31,S,5-10,207,32,9,Southern Methodist,Cardinals,,
"
Jack Crawford",69,DE,6-5,281,33,11,Penn State,Cardinals,,
"
Darrell Daniels",81,TE,6-3,256,27,6,Washington,Cardinals,,
"
Kylie Fitts",49,OLB,6-4,260,27,4,Utah,Cardinals,,
"
A.J. Green",18,WR,6-4,207,33,12,Georgia,Cardinals,,
"
Antonio Hamilton",33,CB,6-0,188,29,7,South Carolina State,Cardinals,,
"
Demetrius Harris",84,TE,6-7,230,30,9,Wisconsin-Milwaukee,Cardinals,,
"
Corey Peters",98,DT,6-3,335,33,13,Kentucky,Cardinals,,
"
Charles Washington",28,S,5-10,192,29,6,Fresno State,Cardinals,,
"
Jaire Alexander",23,CB,5-10,196,25,5,Louisville,Packers,,
"
Adrian Amos",31,S,6-0,214,28,8,Penn State,Packers,,
"
David Bakhtiari",69,T,6-4,310,30,10,Colorado,Packers,,
"
Kurt Benkert",6,QB,6-3,218,26,2,Virginia,Packers,,
"
Chris Blair",19,WR,6-2,198,24,1,Alcorn State,Packers,,
"
De'Vondre Campbell",59,LB,6-3,232,28,7,Minnesota,Packers,,
"
Kenny Clark",97,DL,6-3,314,26,7,UCLA,Packers,,
"
Randall Cobb",18,WR,5-10,195,31,12,Kentucky,Packers,,
"
Mason Crosby",2,K,6-1,207,37,16,Colorado,Packers,,
"
Shawn Davis",30,S,5-11,202,24,1,Florida,Packers,,
"
Tyler Davis",84,TE,6-4,252,25,3,Georgia Tech,Packers,,
"
Josiah Deguara",81,TE,6-2,238,25,3,Cincinnati,Packers,,
"
AJ Dillon",28,RB,6-0,247,23,3,Boston College,Packers,,
"
Rasul Douglas",29,CB,6-2,209,26,6,West Virginia,Packers,,
"
Dominik Eberle",7,K,6-2,190,25,1,Utah State,Packers,,
"
Kabion Ento",48,CB,6-1,187,26,2,Colorado,Packers,,
"
Danny Etling",9,QB,6-3,222,27,1,LSU,Packers,,
"
Rico Gafford",80,WR,5-10,184,25,2,Wyoming,Packers,,
"
Innis Gaines",38,S,6-1,202,23,1,TCU,Packers,,
"
Tipa Galeai",40,LB,6-5,229,25,2,Utah State,Packers,,
"
Jonathan Garvin",53,LB,6-4,257,22,3,Miami,Packers,,
"
Rashan Gary",52,LB,6-5,277,24,4,Michigan,Packers,,
"
La'Darius Hamilton",54,LB,6-2,261,24,2,North Texas,Packers,,
"
Jack Heflin",96,DL,6-3,304,24,2,Iowa,Packers,,
"
Kylin Hill",32,RB,5-10,214,23,2,Mississippi State,Packers,,
"
Shemar Jean-Charles",22,CB,5-10,184,23,2,Appalachian State,Packers,,
"
Elgton Jenkins",74,G,6-5,311,26,4,Mississippi State,Packers,,
"
Aaron Jones",33,RB,5-9,208,27,6,Texas-El Paso,Packers,,
"
Marcedes Lewis",89,TE,6-6,267,37,17,UCLA,Packers,,
"
Jordan Love",10,QB,6-4,219,23,3,Utah State,Packers,,
"
Dean Lowry",94,DL,6-6,296,27,7,Northwestern,Packers,,
"
Alizé Mack",47,TE,6-4,251,25,1,Notre Dame,Packers,,
"
Isaiah McDuffie",58,LB,6-1,227,22,2,Boston College,Packers,,
"
Michal Menet",65,C,6-4,301,24,1,Penn State,Packers,,
"
JJ Molson",11,K,5-11,180,25,1,UCLA,Packers,,
"
Josh Myers",71,C/G,6-5,310,23,2,Ohio State,Packers,,
"
Royce Newman",70,T/G,6-5,310,24,2,Mississippi,Packers,,
"
Keisean Nixon",25,CB,5-10,200,24,4,South Carolina,Packers,,
"
Pat O'Donnell",16,P,6-4,220,31,9,Miami,Packers,,
"
Jarran Reed",90,DL,6-3,307,29,7,Alabama,Packers,,
"
Aaron Rodgers",12,QB,6-2,225,38,18,California,Packers,,
"
Amari Rodgers",8,WR,5-9,212,22,2,Clemson,Packers,,
"
Jon Runyan",76,G,6-4,307,24,3,Michigan,Packers,,
"
Darnell Savage",26,S,5-11,198,24,4,Maryland,Packers,,
"
Vernon Scott",36,S,6-2,202,24,3,TCU,Packers,,
"
T.J. Slaton",93,DL,6-4,330,24,2,Florida,Packers,,
"
Preston Smith",91,LB,6-5,265,29,8,Mississippi State,Packers,,
"
Eric Stokes",21,CB,6-0,194,23,2,Georgia,Packers,,
"
Ty Summers",44,LB,6-1,241,26,4,TCU,Packers,,
"
Patrick Taylor",27,RB,6-2,217,23,2,Memphis,Packers,,
"
Kiondre Thomas",43,CB,6-0,186,24,1,Kansas State,Packers,,
"
Robert Tonyan",85,TE,6-5,240,27,5,Indiana State,Packers,,
"
Cole Van Lanen",78,T/G,6-4,305,23,1,Wisconsin,Packers,,
"
Ray Wilborn",57,LB,6-3,230,25,1,Ball State,Packers,,
"
Juwann Winfree",88,WR,6-1,210,25,3,Colorado,Packers,,
"
Steven Wirtel",46,LS,6-4,228,24,2,Iowa State,Packers,,
"
Krys Barnes",51,LB,6-2,229,24,3,UCLA,Packers,,
"
Dominique Dafney",49,TE,6-2,243,24,2,Indiana State,Packers,,
"
Jake Hanson",67,C,6-4,296,24,2,Oregon,Packers,,
"
Yosh Nijman",73,T,6-7,314,26,3,Virginia Tech,Packers,,
"
Randy Ramsey",56,LB,6-3,238,26,3,Arkansas,Packers,,
"
Malik Taylor",86,WR,6-1,220,26,3,Ferris State,Packers,,
"
Allen Lazard",13,WR,6-5,227,26,4,Iowa State,Packers,,
"
Dennis Kelly",79,T,6-8,321,32,11,Purdue,Packers,,
"
Kevin King",20,CB,6-3,200,26,6,Washington,Packers,,
"
Tyler Lancaster",95,DL,6-3,313,27,5,Northwestern,Packers,,
Jordan Berry,3,P,6-5,195,31,8,Eastern Kentucky,Vikings,,
"
Tuf Borland",47,LB,6-1,233,24,1,Ohio State,Vikings,,
"
Kris Boyd",29,CB,5-11,195,25,4,Texas,Vikings,,
"
Garrett Bradbury",56,C,6-3,300,26,4,North Carolina State,Vikings,,
"
Blake Brandel",64,T,6-7,315,25,2,Oregon State,Vikings,,
"
Camryn Bynum",43,S,6-0,200,23,2,California,Vikings,,
"
Dan Chisena",85,WR,6-3,203,25,3,Penn State,Vikings,,
"
Ezra Cleveland",72,G,6-6,312,23,3,Boise State,Vikings,,
"
Ryan Connelly",57,LB,6-2,234,26,4,Wisconsin,Vikings,,
"
Dalvin Cook",4,RB,5-10,210,26,6,Florida State,Vikings,,
"
Kirk Cousins",8,QB,6-3,205,33,11,Michigan State,Vikings,,
"
Cameron Dantzler",27,CB,6-2,190,23,3,Mississippi State,Vikings,,
"
Christian Darrisaw",71,T,6-5,315,22,2,Virginia Tech,Vikings,,
"
Zach Davidson",40,TE,6-7,251,23,1,Central Missouri,Vikings,,
"
Jesse Davis",,OL,6-6,318,30,6,Idaho,Vikings,,
"
Wyatt Davis",51,G,6-4,315,23,2,Ohio State,Vikings,,
"
Andrew DePaola",42,LS,6-1,229,34,8,Rutgers,Vikings,,
"
Myles Dorn",46,S,6-2,210,23,3,North Carolina,Vikings,,
"
Troy Dye",45,LB,6-3,225,25,3,Oregon,Vikings,,
"
Ben Ellefson",82,TE,6-3,250,25,3,North Dakota State,Vikings,,
"
Nate Hairston",,CB,6-0,185,27,6,Temple,Vikings,,
"
C.J. Ham",30,FB,5-11,250,28,6,Augustana (S.D.),Vikings,,
"
Harrison Hand",20,CB,5-11,185,23,3,Temple,Vikings,,
"
Jordan Hicks",,LB,6-1,236,29,8,Texas,Vikings,,
"
Kyle Hinton",68,G,6-2,315,24,1,Washburn,Vikings,,
"
Danielle Hunter",99,DE,6-5,263,27,8,LSU,Vikings,,
"
Trishton Jackson",9,WR,6-1,191,24,2,Syracuse,Vikings,,
"
Justin Jefferson",18,WR,6-1,195,22,3,LSU,Vikings,,
"
Bisi Johnson",81,WR,6-0,210,25,4,Colorado State,Vikings,,
"
Patrick Jones II",93,DE,6-4,264,23,2,Pittsburgh,Vikings,,
"
Greg Joseph",1,K,6-0,206,27,3,Florida Atlantic,Vikings,,
"
Eric Kendricks",54,LB,6-0,232,30,8,UCLA,Vikings,,
"
Blake Lynch",48,LB,6-3,233,25,2,Baylor,Vikings,,
"
James Lynch",92,DT,6-4,295,23,3,Baylor,Vikings,,
"
Sean Mannion",14,QB,6-6,230,29,8,Oregon State,Vikings,,
"
Alexander Mattison",25,RB,5-11,215,23,4,Boise State,Vikings,,
"
T.Y. McGill",91,DT,6-0,294,29,7,N.C. State,Vikings,,
"
Josh Metellus",44,S,5-11,207,24,3,Michigan,Vikings,,
"
Myron Mitchell",87,WR,6-1,185,23,1,UAB,Vikings,,
"
Kellen Mond",11,QB,6-3,212,22,2,Texas A&M,Vikings,,
"
Johnny Mundt",,TE,6-4,233,27,5,Oregon,Vikings,,
"
Parry Nickerson",39,CB,5-10,179,27,4,Tulane,Vikings,,
"
Kene Nwangwu",26,RB,6-1,210,24,2,Iowa State,Vikings,,
"
Brian O'Neill",75,T,6-7,310,26,5,Pittsburgh,Vikings,,
"
K.J. Osborn",17,WR,5-11,203,24,3,Miami (Fla.),Vikings,,
"
Timon Parris",61,T,6-6,330,26,1,Stony Brook,Vikings,,
"
Patrick Peterson",7,CB,6-1,197,31,12,LSU,Vikings,,
"
Harrison Phillips",,DT,6-3,307,26,5,Stanford,Vikings,,
"
Blake Proehl",13,WR,6-1,190,23,2,East Carolina,Vikings,,
"
Chris Reed",,G,6-3,314,29,7,Minnesota State,Vikings,,
"
Janarius Robinson",95,DE,6-5,258,22,2,Florida State,Vikings,,
"
A.J. Rose Jr.",36,RB,6-1,211,24,1,Kentucky,Vikings,,
"
Austin Schlottmann",,G/C,6-6,300,26,4,TCU,Vikings,,
"
Jordon Scott",66,DT,6-1,326,23,2,Oregon,Vikings,,
"
Harrison Smith",22,S,6-2,211,33,11,Notre Dame,Vikings,,
"
Irv Smith Jr.",84,TE,6-2,240,23,4,Alabama,Vikings,,
"
T.J. Smith",50,DT,6-3,303,24,1,Arkansas,Vikings,,
"
Tye Smith",,CB,6-0,190,28,6,Towson State,Vikings,,
"
Za'Darius Smith",,LB,6-4,272,29,8,Kentucky,Vikings,,
"
Ihmir Smith-Marsette",15,WR,6-1,185,22,2,Iowa,Vikings,,
"
Nate Stanley",,QB,6-4,233,24,2,Iowa,Vikings,,
"
Chandon Sullivan",,CB,5-11,189,25,5,Georgia State,Vikings,,
"
Chazz Surratt",41,LB,6-2,233,25,2,North Carolina,Vikings,,
"
Jullian Taylor",,DT,6-5,300,N/A,R,Temple,Vikings,,
"
Adam Thielen",19,WR,6-2,200,31,9,Minnesota State,Vikings,,
"
Dalvin Tomlinson",94,DT,6-3,325,28,6,Alabama,Vikings,,
"
Jaylen Twyman",76,DT,6-2,285,22,1,Pittsburgh,Vikings,,
"
Olisaemeka Udoh",74,G,6-6,320,25,4,Elon,Vikings,,
"
Armon Watts",96,DT,6-5,307,25,4,Arkansas,Vikings,,
"
Kenny Willekes",79,DE,6-3,264,24,3,Michigan State,Vikings,,
"
D.J. Wonnum",98,DE,6-5,258,24,3,South Carolina,Vikings,,
"
Auzoyah Alufohai",79,DL,6-4,320,25,1,West Georgia,Bears,,
"
Jeremiah Attaochu",50,LB,6-3,262,29,9,Georgia Tech,Bears,,
"
Angelo Blackson",90,DL,6-4,315,29,8,Auburn,Bears,,
"
Khari Blasingame",35,FB,6-0,233,25,4,Vanderbilt,Bears,,
"
Larry Borom",75,OL,6-5,333,23,2,Missouri,Bears,,
"
Isaiah Coulter",82,WR,6-2,198,23,2,Rhode Island,Bears,,
"
Dane Cruikshank",29,DB,6-1,209,26,5,Arizona,Bears,,
"
Noah Dawkins",38,LB,6-1,235,24,2,The Citadel,Bears,,
"
Dakota Dozier",78,OL,6-4,312,30,9,Furman,Bears,,
"
Mario Edwards Jr.",97,DL,6-3,277,28,8,Florida State,Bears,,
"
Dieter Eiselen",60,OL,6-4,320,25,1,Yale,Bears,,
"
Darrynton Evans",21,RB,5-10,203,23,3,Appalachian State,Bears,,
"
Justin Fields",1,QB,6-3,228,23,2,Ohio State,Bears,,
"
Nick Foles",9,QB,6-6,262,33,11,Arizona,Bears,,
"
Trevis Gipson",99,LB,6-4,263,24,3,Tulsa,Bears,,
"
Thomas Graham Jr.",27,DB,5-11,197,22,1,Oregon,Bears,,
"
Ryan Griffin",,TE,6-6,255,32,10,Connecticut,Bears,,
"
Khalil Herbert",24,RB,5-9,212,23,2,Virginia Tech,Bears,,
"
Jesper Horsted",87,TE,6-4,241,25,3,Princeton,Bears,,
"
DeAndre Houston-Carson",36,DB,6-0,202,29,7,William & Mary,Bears,,
"
Eddie Jackson",4,DB,6-0,206,28,6,Alabama,Bears,,
"
Lamar Jackson",23,DB,6-2,208,24,2,Nebraska,Bears,,
"
Teven Jenkins",76,OL,6-6,321,24,2,Oklahoma State,Bears,,
"
Caleb Johnson",92,LB,6-2,227,23,2,Houston Baptist University,Bears,,
"
Jaylon Johnson",33,DB,6-0,196,22,3,Utah,Bears,,
"
Justin Jones",93,DL,6-3,309,25,5,North Carolina State,Bears,,
"
Michael Joseph",30,DB,6-0,194,27,2,Dubuque,Bears,,
"
Sam Kamara",46,LB,6-2,288,24,2,Stony Brook,Bears,,
"
BoPete Keyes",26,DB,6-1,202,24,3,Tulane,Bears,,
"
Cole Kmet",85,TE,6-6,260,23,3,Notre Dame,Bears,,
"
LaCale London",63,DL,6-5,316,24,1,Western Illinois,Bears,,
"
Ledarius Mack",43,LB,6-1,237,25,1,Buffalo,Bears,,
"
David Montgomery",32,RB,5-11,224,24,4,Iowa State,Bears,,
"
Darnell Mooney",11,WR,5-11,173,24,3,Tulane,Bears,,
"
Nicholas Morrow",53,LB,6-0,216,26,6,Greenville,Bears,,
"
Al-Quadin Muhammad",55,DL,6-3,250,27,6,Miami,Bears,,
"
Sam Mustipher",67,OL,6-2,332,25,3,Notre Dame,Bears,,
"
Dazz Newsome",83,WR,5-10,184,22,1,North Carolina,Bears,,
"
Lucas Patrick",62,OL,6-3,313,28,6,Duke,Bears,,
"
Byron Pringle",13,WR,6-1,203,28,5,Kansas State,Bears,,
"
Robert Quinn",94,LB,6-4,245,31,12,North Carolina,Bears,,
"
Cairo Santos",2,K,5-8,175,30,8,Tulane,Bears,,
"
Patrick Scales",48,LS,6-3,226,34,7,Utah State,Bears,,
"
Duke Shelley",20,DB,5-9,176,25,4,Kansas State,Bears,,
"
Trevor Siemian",15,QB,6-3,220,30,7,Northwestern,Bears,,
"
Lachavious Simmons",73,OL,6-5,319,25,3,Tennessee State,Bears,,
"
Roquan Smith",58,LB,6-1,232,25,5,Georgia,Bears,,
"
Charles Snowden",49,LB,6-7,245,24,1,Virginia,Bears,,
"
Equanimeous St. Brown",19,WR,6-5,214,25,5,Notre Dame,Bears,,
"
Joe Thomas",45,LB,6-1,227,30,8,South Carolina State,Bears,,
"
Khyiris Tonga",95,DL,6-4,338,25,2,BYU,Bears,,
"
Kindle Vildor",22,DB,5-11,189,24,3,Georgia Southern,Bears,,
"
Nsimba Webster",10,WR,5-10,180,26,4,Eastern Washington,Bears,,
"
Tyrone Wheatley Jr.",72,OL,6-6,326,25,1,Stony Brook,Bears,,
"
Cody Whitehair",65,OL,6-3,316,29,7,Kansas State,Bears,,
"
Ryan Willis",14,QB,6-4,211,N/A,R,Virginia Tech,Bears,,
"
Ryan Winslow",8,P,6-5,217,27,1,Pittsburgh,Bears,,
"
Willie Wright",64,OL,6-3,300,26,1,Tulsa,Bears,,
"
Alex Anzalone",34,LB,6-3,237,27,6,Florida,Lions,,
"
Eric Banks",94,DE,6-5,274,24,2,Texas-San Antonio,Lions,,
"
Derrick Barnes",55,LB,6-0,238,22,2,Purdue,Lions,,
"
Tavante Beckett",59,LB,5-11,220,24,1,Marshall,Lions,,
"
Trinity Benson",17,WR,6-0,180,25,2,East Central,Lions,,
"
Rashod Berry",43,OLB,6-4,255,25,2,Ohio State,Lions,,
"
David Blough",10,QB,6-1,205,26,4,Purdue,Lions,,
"
Chris Board",,LB,6-2,229,26,5,North Dakota State,Lions,,
"
Curtis Bolton",49,LB,6-0,228,26,2,Oklahoma,Lions,,
"
Tim Boyle",12,QB,6-4,227,27,5,Eastern Kentucky,Lions,,
"
Brady Breeze",15,S,6-0,200,24,2,Oregon,Lions,,
"
Michael Brockers",91,DE,6-5,297,31,11,LSU,Lions,,
"
Evan Brown",63,C,6-3,320,25,4,Southern Methodist,Lions,,
"
Austin Bryant",2,OLB,6-5,260,25,4,Clemson,Lions,,
"
Hunter Bryant",86,TE,6-2,245,23,2,Washington,Lions,,
"
Jason Cabinda",45,FB,6-1,240,26,4,Penn State,Lions,,
"
Quintez Cephus",87,WR,6-1,208,24,3,Wisconsin,Lions,,
"
DJ Chark",,WR,6-3,198,25,5,LSU,Lions,,
"
Jashon Cornell",96,DE,6-3,297,25,3,Ohio State,Lions,,
"
Scott Daly",47,LS,6-1,245,28,2,Notre Dame,Lions,,
"
Jarrad Davis",,LB,6-1,245,27,6,Florida,Lions,,
"
Taylor Decker",68,T,6-7,324,28,7,Ohio State,Lions,,
"
Jalen Elliott",42,S,6-0,206,23,2,Notre Dame,Lions,,
"
Jack Fox",3,P,6-2,215,25,3,Rice,Lions,,
"
Mark Gilbert",40,CB,6-1,190,24,2,Duke,Lions,,
"
Jared Goff",16,QB,6-4,217,27,7,California,Lions,,
"
Garrett Griffin",,TE,6-4,240,28,4,Air Force,Lions,,
"
Shaun Dion Hamilton",50,LB,6-0,235,26,5,Alabama,Lions,,
"
Charles Harris",53,OLB,6-3,252,27,6,Missouri,Lions,,
"
Will Harris",25,S,6-1,206,26,4,Boston College,Lions,,
"
Bruce Hector",76,DE,6-2,296,27,2,University of South Florida,Lions,,
"
T.J. Hockenson",88,TE,6-5,248,24,4,Iowa,Lions,,
"
JuJu Hughes",,S,5-11,188,23,3,Fresno State,Lions,,
"
Mike Hughes",,CB,5-10,189,25,5,UCF,Lions,,
"
Godwin Igwebuike",35,RB,6-0,212,27,2,Northwestern,Lions,,
"
Jonah Jackson",73,G,6-4,308,25,3,Ohio State,Lions,,
"
Jerry Jacobs",39,CB,5-11,203,24,2,Arkansas,Lions,,
"
Jermar Jefferson",28,RB,5-10,212,21,2,Oregon State,Lions,,
"
Tom Kennedy",85,WR,5-10,195,25,2,Bryant,Lions,,
"
Tommy Kraemer",78,G,6-6,319,23,2,Notre Dame,Lions,,
"
Jessie Lemonier",52,OLB,6-2,240,25,3,Liberty,Lions,,
"
Ryan McCollum",74,C,6-5,300,24,2,Texas A&M,Lions,,
"
Javon McKinley",83,WR,6-2,216,24,1,Notre Dame,Lions,,
"
Alim McNeill",54,NT,6-2,330,21,2,N.C. State,Lions,,
"
Ifeatu Melifonwu",26,CB,6-3,210,22,2,Syracuse,Lions,,
"
Steven Montez",19,QB,6-5,230,25,1,Colorado,Lions,,
"
C.J. Moore",38,S,5-11,197,26,4,Ole Miss,Lions,,
"
Parnell Motley",29,CB,6-0,180,24,2,Oklahoma,Lions,,
"
Matt Nelson",67,T,6-7,316,26,3,Iowa,Lions,,
"
Jeff Okudah",23,CB,6-1,202,23,3,Ohio State,Lions,,
"
Julian Okwara",99,OLB,6-4,245,24,3,Notre Dame,Lions,,
"
Romeo Okwara",95,OLB,6-4,255,26,7,Notre Dame,Lions,,
"
Levi Onwuzurike",75,DE,6-3,295,24,2,Washington,Lions,,
"
Amani Oruwariye",24,CB,6-2,205,26,4,Penn State,Lions,,
"
AJ Parker",41,CB,5-11,178,24,2,Kansas State,Lions,,
"
Riley Patterson",6,K,6-0,190,23,2,Memphis,Lions,,
"
John Penisini",98,NT,6-2,335,24,3,Utah,Lions,,
"
Jared Pinkney",80,TE,6-4,260,24,1,Vanderbilt,Lions,,
"
Anthony Pittman",57,LB,6-3,240,25,2,Wayne St.,Lions,,
"
Bobby Price",27,CB,6-3,208,23,2,Norfolk State,Lions,,
"
Frank Ragnow",77,C,6-5,311,25,5,Arkansas,Lions,,
"
Kalif Raymond",11,WR,5-8,182,27,6,Holy Cross,Lions,,
"
Craig Reynolds",46,RB,5-11,225,25,1,Kutztown,Lions,,
"
Josh Reynolds",8,WR,6-3,196,27,6,Texas A&M,Lions,,
"
Aldrick Rosas",5,K,6-2,221,27,5,Southern Oregon,Lions,,
"
Austin Seibert",4,K,5-9,211,25,4,Oklahoma,Lions,,
"
Penei Sewell",58,T,6-5,331,21,2,Oregon,Lions,,
"
Dan Skipper",70,T,6-9,330,27,3,Arkansas,Lions,,
"
Saivion Smith",19,CB,6-1,200,24,2,Alabama,Lions,,
"
Matt Sokol",,TE,6-5,255,26,1,Michigan State,Lions,,
"
Amon-Ra St. Brown",14,WR,6-0,197,22,2,USC,Lions,,
"
Logan Stenberg",71,G,6-6,315,25,3,Kentucky,Lions,,
"
D'Andre Swift",32,RB,5-9,211,23,3,Georgia,Lions,,
"
Charlie Taumoepeau",43,TE,6-3,240,24,1,Portland State,Lions,,
"
Jordan Thomas",,TE,6-5,280,25,3,Mississippi State,Lions,,
"
Halapoulivaati Vaitai",72,G,6-6,325,28,7,Texas Christian,Lions,,
"
Tracy Walker III",21,S,6-1,206,27,5,Louisiana-Lafayette,Lions,,
"
Jamaal Williams",30,RB,6-0,224,27,6,BYU,Lions,,
"
Josh Woods",51,LB,6-1,236,25,4,Maryland,Lions,,
"
Brock Wright",89,TE,6-5,259,23,2,Notre Dame,Lions,,
"
Shane Zylstra",84,TE,6-4,237,25,1,Minnesota State,Lions,,
"
Isaac Alarcón",60,T,6-7,320,23,1,Monterrey Tech,Cowboys,,
"
Bryan Anger",5,P,6-3,202,33,11,California,Cowboys,,
"
Dorance Armstrong",92,DE,6-4,255,24,5,Kansas,Cowboys,,
"
Josh Ball",75,T,6-8,304,23,2,Marshall,Cowboys,,
"
Tarell Basham",93,DE,6-4,266,28,6,Ohio,Cowboys,,
"
Tyler Biadasz",63,C,6-3,316,24,3,Wisconsin,Cowboys,,
"
Quinton Bohanna",98,DT,6-4,360,23,2,Kentucky,Cowboys,,
Devante Bond,51,LB,6-1,236,28,5,Oklahoma,Cowboys,,
"
Anthony Brown",3,CB,5-11,196,28,7,Purdue,Cowboys,,
"
Kyron Brown",36,CB,6-1,195,25,3,Akron,Cowboys,,
"
Noah Brown",85,WR,6-2,225,26,6,Ohio State,Cowboys,,
"
Ian Bunting",49,TE,6-7,255,26,1,California,Cowboys,,
"
Aviante Collins",76,T,6-4,292,28,4,TCU,Cowboys,,
"
Jabril Cox",14,LB,6-3,233,23,2,LSU,Cowboys,,
"
Tyler Coyle",39,S,6-1,209,23,1,Purdue,Cowboys,,
"
Trevon Diggs",7,CB,6-2,195,23,3,Alabama,Cowboys,,
"
Ben DiNucci",3,QB,6-3,209,25,2,James Madison,Cowboys,,
"
Rico Dowdle",34,RB,6-0,215,23,3,South Carolina,Cowboys,,
"
Ezekiel Elliott",21,RB,6-0,228,26,7,Ohio State,Cowboys,,
"
Austin Faoliu",58,DT,6-3,292,23,1,Oregon,Cowboys,,
"
Matt Farniok",68,G,6-5,311,24,2,Nebraska,Cowboys,,
"
Simi Fehoko",81,WR,6-3,220,24,2,Stanford,Cowboys,,
"
Dante Fowler Jr.",56,DE,6-3,261,27,8,Florida,Cowboys,,
"
Neville Gallimore",96,DT,6-2,302,25,3,Oklahoma,Cowboys,,
"
Michael Gallup",13,WR,6-1,198,26,5,Colorado State,Cowboys,,
"
Luke Gifford",57,LB,6-3,243,26,4,Nebraska,Cowboys,,
"
Chauncey Golston",59,DE,6-5,268,24,2,Iowa,Cowboys,,
"
C.J. Goodwin",29,CB,6-3,190,32,7,California (PA),Cowboys,,
"
Will Grier",15,QB,6-1,220,27,4,West Virginia,Cowboys,,
"
JaQuan Hardy",37,RB,5-10,225,24,1,Tiffin,Cowboys,,
"
Trysten Hill",72,DT,6-3,308,24,4,UCF,Cowboys,,
"
Malik Hooker",28,S,6-2,212,26,6,Ohio State,Cowboys,,
"
Braylon Jones",62,C,6-3,301,24,1,Houston,Cowboys,,
"
Kelvin Joseph",24,CB,6-1,192,22,2,Kentucky,Cowboys,,
"
Jayron Kearse",27,S,6-4,215,28,8,Clemson,Cowboys,,
"
CeeDee Lamb",88,WR,6-2,200,23,3,Oklahoma,Cowboys,,
"
DeMarcus Lawrence",90,DE,6-3,265,29,9,Boise State,Cowboys,,
"
Jourdan Lewis",2,CB,5-10,195,26,6,Michigan,Cowboys,,
"
Zack Martin",70,G,6-4,315,31,9,Notre Dame,Cowboys,,
"
Connor McGovern",66,G,6-5,308,24,4,Penn State,Cowboys,,
"
Sean McKeon",84,TE,6-5,238,24,3,Michigan,Cowboys,,
"
Jake McQuaide",44,LS,6-2,247,34,12,Ohio State,Cowboys,,
"
Israel Mukuamu",38,S,6-4,205,22,2,South Carolina,Cowboys,,
"
Hunter Niswander",7,P,6-4,243,27,3,Northwestern,Cowboys,,
"
Osa Odighizuwa",97,DT,6-2,280,23,2,UCLA,Cowboys,,
"
Sewo Olonilua",33,FB,6-3,240,24,2,Texas Christian,Cowboys,,
"
Micah Parsons",11,LB,6-3,245,22,2,Penn State,Cowboys,,
"
Tony Pollard",20,RB,6-0,209,24,4,Memphis,Cowboys,,
"
Dak Prescott",4,QB,6-2,238,28,7,Mississippi State,Cowboys,,
"
Nick Ralston",46,FB,6-0,237,25,1,Louisiana,Cowboys,,
"
Cooper Rush",10,QB,6-3,225,28,5,Central Michigan,Cowboys,,
"
Dalton Schultz",86,TE,6-5,244,25,5,Stanford,Cowboys,,
"
Brandon Smith",80,WR,6-2,220,23,1,Iowa,Cowboys,,
"
Tyron Smith",77,T,6-5,320,31,12,USC,Cowboys,,
"
Jeremy Sprinkle",87,TE,6-5,252,27,6,Arkansas,Cowboys,,
"
Terence Steele",78,T,6-6,310,24,3,Texas Tech,Cowboys,,
"
Darian Thompson",23,S,6-2,211,N/A,R,Boise State,Cowboys,,
"
Leighton Vander Esch",55,LB,6-4,256,26,5,Boise State,Cowboys,,
"
T.J. Vasher",15,WR,6-5,210,23,1,Texas Tech,Cowboys,,
"
James Washington",,WR,5-11,213,26,5,Oklahoma State,Cowboys,,
"
Carlos Watkins",91,DE,6-3,305,28,6,Clemson,Cowboys,,
"
Donovan Wilson",6,S,6-0,204,27,4,Texas A&M,Cowboys,,
"
Nahshon Wright",25,CB,6-4,185,23,2,Oregon State,Cowboys,,
"
Francis Bernard",53,LB,6-1,230,27,3,Utah,Cowboys,,
"
Mitch Hyatt",65,T,6-5,306,25,3,Clemson,Cowboys,,
"
Maurice Canady",31,CB,6-1,193,27,6,Virginia,Cowboys,,
"
Corey Clement",32,RB,5-10,220,27,6,Wisconsin,Cowboys,,
"
Damontae Kazee",18,S,5'11,174,28,6,San Diego State,Cowboys,,
"
Keanu Neal",42,LB,6-0,211,26,7,Florida,Cowboys,,
"
Ty Nsekhe",79,T,6-8,325,36,8,Texas State-San Marcos,Cowboys,,
